Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Luke 13:24	“Strive to enter through the narrow gate. For many, I tell you, will seek to enter and not be able.
Luke 13:25	Then, when the father of the family will have entered and shut the door, you will begin to stand outside and to knock at the door, saying, ‘Lord, open to us.’ And in response, he will say to you, ‘I do not know where you are from.’
Luke 13:26	Then you will begin to say, ‘We ate and drank in your presence, and you taught in our streets.’
Luke 13:27	And he will say to you: ‘I do not know where you are from. Depart from me, all you workers of iniquity!’
Luke 13:28	In that place, there will be weeping and gnashing of teeth, when you see Abraham, and Isaac, and Jacob, and all the prophets, in the kingdom of God, yet you yourselves are expelled outside.
Luke 13:29	And they will arrive from the East, and the West, and the North, and the South; and they will recline at table in the kingdom of God.
Luke 13:30	And behold, those who are last will be first, and those who are first will be last.”
Luke 13:31	On the same day, some of the Pharisees approached, saying to him: “Depart, and go away from here. For Herod wishes to kill you.”
Luke 13:32	And he said to them: “Go and tell that fox: ‘Behold, I cast out demons and accomplish healings, today and tomorrow. And on the third day I reach the end.’
Luke 13:33	Yet truly, it is necessary for me to walk today and tomorrow and the following day. For it does not fall to a prophet to perish beyond Jerusalem.
Luke 13:34	Jerusalem, Jerusalem! You kill the prophets, and you stone those who are sent to you. Daily, I wanted to gather together your children, in the manner of a bird with her nest under her wings, but you were not willing!
Luke 13:35	Behold, your house will be left desolate for you. But I say to you, that you shall not see me, until it happens that you say: ‘Blessed is he who has arrived in the name of the Lord.’ ”
Luke 14:1	And it happened that, when Jesus entered the house of a certain leader of the Pharisees on the Sabbath to eat bread, they were observing him.
Luke 14:2	And behold, a certain man before him was afflicted with edema.
Luke 14:3	And responding, Jesus spoke to the experts in the law and to the Pharisees, saying, “Is it lawful to cure on the Sabbath?”
Luke 14:4	But they kept silent. Yet truly, taking hold of him, he healed him and sent him away.
Luke 14:5	And responding to them, he said, “Which of you will have a donkey or an ox fall into a pit, and will not promptly pull him out, on the day of the Sabbath?”
Luke 14:6	And they were unable to respond to him about these things.
Luke 14:7	Then he also told a parable, to those who were invited, noticing how they chose the first seats at the table, saying to them:
Luke 14:8	“When you are invited to a wedding, do not sit down in the first place, lest perhaps someone more honored than yourself may have been invited by him.
Luke 14:9	And then he who called both you and him, approaching, may say to you, ‘Give this place to him.’ And then you would begin, with shame, to take the last place.
Luke 14:10	But when you are invited, go, sit down in the lowest place, so that, when he who invited you arrives, he may say to you, ‘Friend, go up higher.’ Then you will have glory in the sight of those who sit at table together with you.
Luke 14:11	For everyone who exalts himself shall be humbled, and whoever humbles himself shall be exalted.”
Luke 14:12	Then he also said to the one who had invited him: “When you prepare a lunch or dinner, do not choose to call your friends, or your brothers, or your relatives, or your wealthy neighbors, lest perhaps they might then invite you in return and repayment would made to you.
Luke 14:13	But when you prepare a feast, call the poor, the disabled, the lame, and the blind.
Luke 14:14	And you will be blessed because they do not have a way to repay you. So then, your recompense will be in the resurrection of the just.”
Luke 14:15	When someone sitting at table with him had heard these things, he said to him, “Blessed is he who will eat bread in the kingdom of God.”
Luke 14:16	So he said to him: “A certain man prepared a great feast, and he invited many.
Luke 14:17	And he sent his servant, at the hour of the feast, to tell the invited to come; for now everything was ready.
Luke 14:18	And at once they all began to make excuses. The first said to him: ‘I bought a farm, and I need to go out and see it. I ask you to excuse me.’
Luke 14:19	And another said: ‘I bought five yoke of oxen, and I am going to examine them. I ask you to excuse me.’
Luke 14:20	And another said, ‘I have taken a wife, and therefore I am not able to go.’
Luke 14:21	And returning, the servant reported these things to his lord. Then the father of the family, becoming angry, said to his servant: ‘Go out quickly into the streets and neighborhoods of the city. And lead here the poor, and the disabled, and the blind, and the lame.’
Luke 14:22	And the servant said: ‘It has been done, just as you ordered, lord, and there is still room.’
Luke 14:23	And the lord said to the servant: ‘Go out to the highways and hedges, and compel them to enter, so that my house may be filled.
Luke 14:24	For I tell you, that none of those men who were invited will taste of my feast.’ ”
Luke 14:25	Now great crowds traveled with him. And turning around, he said to them:
Luke 14:26	“If anyone comes to me, and does not hate his father, and mother, and wife, and children, and brothers, and sisters, and yes, even his own life, he is not able to be my disciple.
Luke 14:27	And whoever does not bear his cross and come after me, is not able to be my disciple.
Luke 14:28	For who among you, wanting to build a tower, would not first sit down and determine the costs that are required, to see if he has the means to complete it?
